date,time,total_hardness,total_chlorine,free_chlorine,ph_strip,total_alkalinity,stabilizer,ph_instrument,water_temp
5/7/2022,,500,5,5,,120,50,7.8,
5/14/2022,,500,1,0,,40,0,7.6,83.1
5/19/2022,,250,3,3,,40,50,7.7,85.4
5/21/2022,,500,3,1,,40,0,7.7,80.9
5/25/2022,,500,3,1,,40,0,7.6,82.0
5/28/2022,,500,1,1,,40,0,7.7,82.0
6/1/2022,,500,1,1,,40,50,7.8,84.5
6/4/2022,,250,0,0,,40,50,7.9,79.8
6/5/2022,,500,1,0,,40,50,7.6,85.2
6/11/2022,,500,3,3,,40,50,7.7,84.2
6/14/2022,,500,1,1,,40,50,7.7,86.7
6/15/2022,,500,3,3,,120,50,7.6,87.4
6/18/2022,,500,3,1,,40,50,7.7,85.4
6/20/2022,,500,1,1,,40,50,7.6,88.3
6/22/2022,,250,1,0,6.8,40,0,7.5,84.5
6/22/2022,,250,3,3,6.8,40,0,7.5,83.1
6/24/2022,,500,3,1,6.8,40,0,7.5,86.3
6/25/2022,,500,3,3,6.8,40,0,7.6,86.3
6/28/2022,,250,0.5,0,6.8,40,0,7.6,87.3
6/30/2022,,250,3,3,6.8,40,0,7.6,84.5
7/2/2022,,250,3,1,6.8,20,0,7.5,85.4
7/4/2022,,250,3,0,6.8,20,0,7.6,88.1
7/4/2022,,250,5,3,6.8,20,0,7.4,89.1
7/7/2022,,250,10,3,6.2,20,0,7.2,88.2
7/7/2022,,250,20,10,6.2,20,0,7.4,87.2
7/28/2022,,250,3,3,6.8,20,40,7.6,85.6
8/3/2022,,250,3,3,6.8,40,50,7.7,85.7
8/6/2022,9:27,250,3,3,6.8,40,40,7.8,86.3
8/6/2022,12:39,250,3,2,6.8,20,0,7.4,88.2
8/13/2022,8:36,250,1,0.5,6.8,40,0,7.9,85.2
8/13/2022,10:59,250,1,1,6.8,20,40,7.5,86.3
8/17/2022,13:39,250,1,0.5,6.8,40,40,7.8,88.3
8/21/2022,13:47,250,1,0.5,6.8,40,40,7.8,88.1
8/24/2022,13:04,250,3,3,6.8,40,40,7.8,89.4
8/27/2022,14:10,250,3,2,6.8,40,40,8.0,87.2
8/27/2022,18:05,250,3,2,6.8,40,40,7.5,87.4
9/3/2022,13:46,500,3,1,6.8,40,40,8.2,88.5
9/3/2022,15:00,,,,,,,7.42,89.6
